Ticker,Date/Time,Open,High,Low,Close,Volume,Rel_Vol_21,H_L_Range,ATR,ADX_21,PDI_21,MDI_21,lag_1,lag_2,lag_3,lag_4,lag_5,lag_6
GME,23.09.2016,27.39,28.58,27.39,28.19,10039598,0.8,1.19,2.25,15,20,25,4.06,3.72,-0.70,-1.91,-11.13,-10.08
GME,30.09.2016,28.11,28.20,27.13,27.59,7231242,0.6,1.08,2.19,15,20,25,-2.13,1.85,1.51,-2.82,-4.00,-13.02
GME,07.10.2016,27.59,27.86,26.30,26.68,11805404,0.9,1.56,2.16,15,19,26,-3.30,-5.36,-1.51,-1.84,-6.02,-7.17
GME,14.10.2016,26.84,27.14,25.11,25.38,12005299,0.9,2.03,2.16,15,18,28,-4.87,-8.01,-9.97,-6.31,-6.62,-10.60
GME,21.10.2016,25.32,25.57,24.45,25.01,13903208,1.0,1.12,2.11,15,18,29,-1.46,-6.26,-9.35,-11.28,-7.68,-7.98
GME,28.10.2016,25.37,25.37,23.69,23.90,11682964,0.9,1.68,2.09,16,17,29,-4.44,-5.83,-10.42,-13.37,-15.22,-11.78
GME,04.11.2016,23.95,24.18,20.10,20.73,26940312,1.9,4.08,2.18,17,15,34,-13.26,-17.11,-18.32,-22.30,-24.86,-26.46
GME,11.11.2016,21.00,22.52,20.50,22.32,11228433,0.8,2.02,2.17,18,15,33,7.67,-6.61,-10.76,-12.06,-16.34,-19.10
GME,18.11.2016,22.44,23.54,22.19,23.46,8824094,0.6,1.35,2.14,19,17,32,5.11,13.17,-1.84,-6.20,-7.57,-12.07
GME,25.11.2016,23.53,26.49,23.16,25.82,17681352,1.3,3.33,2.19,18,22,30,10.06,15.68,24.55,8.03,3.24,1.73
GME,02.12.2016,26.00,26.00,24.13,24.27,11343206,0.8,1.87,2.18,18,21,28,-6.00,3.45,8.74,17.08,1.55,-2.96
GME,09.12.2016,24.44,26.33,24.27,26.02,12194497,0.9,2.06,2.17,18,21,27,7.21,0.77,10.91,16.58,25.52,8.87
GME,16.12.2016,26.06,26.84,25.10,25.42,12266977,0.9,1.74,2.15,18,21,26,-2.31,4.74,-1.55,8.35,13.89,22.62
GME,23.12.2016,25.41,26.54,25.04,25.41,8501945,0.6,1.50,2.12,17,20,25,-0.04,-2.34,4.70,-1.59,8.31,13.84
GME,30.12.2016,25.41,26.00,25.08,25.26,6774993,0.5,0.92,2.06,17,20,25,-0.59,-0.63,-2.92,4.08,-2.17,7.67
GME,06.01.2017,25.44,26.05,24.50,24.52,9557775,0.7,1.55,2.04,17,19,25,-2.93,-3.50,-3.54,-5.76,1.03,-5.03
GME,13.01.2017,24.60,25.13,22.27,22.73,23900230,1.8,2.86,2.08,17,18,29,-7.30,-10.02,-10.55,-10.58,-12.64,-6.35
GME,20.01.2017,22.74,23.75,22.68,23.58,11733502,0.9,1.07,2.03,17,17,28,3.74,-3.83,-6.65,-7.20,-7.24,-9.38
GME,27.01.2017,23.67,24.69,23.45,24.31,12754307,1.0,1.24,1.99,17,19,27,3.10,6.95,-0.86,-3.76,-4.33,-4.37
GME,03.02.2017,24.12,24.90,23.84,24.74,8975672,0.7,1.06,1.95,17,19,26,1.77,4.92,8.84,0.90,-2.06,-2.64
GME,10.02.2017,24.74,25.75,24.51,25.66,8281772,0.6,1.24,1.91,17,21,26,3.72,5.55,8.82,12.89,4.65,1.58
GME,17.02.2017,25.75,26.08,25.25,25.57,8198414,0.6,0.83,1.86,17,21,25,-0.35,3.35,5.18,8.44,12.49,4.28
GME,24.02.2017,25.84,26.50,25.45,26.28,8552386,0.6,1.05,1.82,16,22,24,2.78,2.42,6.22,8.10,11.45,15.62
GME,03.03.2017,26.21,26.68,23.57,25.28,17707188,1.3,3.11,1.88,16,20,27,-3.81,-1.13,-1.48,2.18,3.99,7.21
GME,10.03.2017,25.28,25.30,24.42,25.18,12418656,0.9,0.88,1.84,16,20,27,-0.40,-4.19,-1.53,-1.87,1.78,3.58
GME,17.03.2017,24.77,24.80,24.00,24.64,17249864,1.3,0.80,1.81,16,19,27,-2.14,-2.53,-6.24,-3.64,-3.98,-0.40
GME,24.03.2017,24.66,24.84,20.66,20.70,29616468,2.2,4.18,1.92,17,17,32,-15.99,-17.79,-18.12,-21.23,-19.05,-19.33
GME,31.03.2017,20.33,22.74,20.24,22.55,19655704,1.4,2.50,1.95,18,16,31,8.94,-8.48,-10.44,-10.80,-14.19,-11.81
GME,07.04.2017,22.52,22.62,21.58,21.66,14165749,1.0,1.04,1.90,18,15,31,-3.95,4.64,-12.09,-13.98,-14.32,-17.58
GME,13.04.2017,21.60,22.44,21.56,22.38,10610345,0.8,0.88,1.85,19,15,30,3.32,-0.75,8.12,-9.17,-11.12,-11.47
GME,21.04.2017,22.45,23.42,22.40,23.19,10894647,0.8,1.02,1.82,19,17,29,3.62,7.06,2.84,12.03,-5.88,-7.90
GME,28.04.2017,23.40,23.98,22.47,22.69,12444694,0.9,1.51,1.80,19,18,28,-2.16,1.39,4.76,0.62,9.61,-7.91
GME,05.05.2017,22.77,24.14,22.56,24.00,10295819,0.8,1.58,1.79,19,18,27,5.77,3.49,7.24,10.80,6.43,15.94
GME,12.05.2017,24.00,25.31,23.78,24.03,11443378,0.9,1.53,1.78,19,20,26,0.13,5.91,3.62,7.37,10.94,6.56
GME,19.05.2017,24.14,24.68,23.52,24.22,10799827,0.8,1.16,1.75,19,20,26,0.79,0.92,6.74,4.44,8.22,11.82
GME,26.05.2017,24.35,24.60,21.25,22.22,32490100,2.4,3.35,1.82,19,18,29,-8.26,-7.53,-7.42,-2.07,-4.18,-0.71
GME,02.06.2017,22.18,22.96,21.89,22.67,17127946,1.3,1.07,1.79,19,17,28,2.03,-6.40,-5.66,-5.54,-0.09,-2.24
GME,09.06.2017,22.25,22.57,21.30,22.01,13790817,1.0,1.27,1.77,20,17,29,-2.91,-0.95,-9.12,-8.41,-8.29,-3.00
GME,16.06.2017,21.94,22.17,20.50,20.59,13685764,1.0,1.67,1.76,20,16,30,-6.45,-9.18,-7.34,-14.99,-14.32,-14.21
GME,23.06.2017,20.65,20.97,20.26,20.65,12083339,0.9,0.71,1.71,21,16,30,0.29,-6.18,-8.91,-7.07,-14.74,-14.07
GME,30.06.2017,20.67,21.80,20.66,21.61,10100550,0.7,1.14,1.69,21,17,29,4.65,4.95,-1.82,-4.68,-2.75,-10.78
GME,07.07.2017,21.77,22.00,20.86,20.91,7458056,0.6,1.14,1.66,21,17,28,-3.24,1.26,1.55,-5.00,-7.76,-5.90
GME,14.07.2017,20.89,21.43,20.79,21.02,6881002,0.5,0.64,1.61,21,17,28,0.53,-2.73,1.79,2.09,-4.50,-7.28
GME,21.07.2017,21.03,21.58,20.72,20.78,9236973,0.7,0.86,1.58,21,17,27,-1.14,-0.62,-3.84,0.63,0.92,-5.59
GME,28.07.2017,20.70,21.75,20.65,21.50,10533210,0.8,1.10,1.55,21,17,26,3.46,2.28,2.82,-0.51,4.12,4.42
GME,04.08.2017,21.55,22.11,21.14,21.93,7732378,0.6,0.97,1.53,21,18,25,2.00,5.53,4.33,4.88,1.48,6.20
GME,11.08.2017,21.94,22.37,21.07,21.76,7344850,0.6,1.30,1.52,21,18,24,-0.78,1.21,4.72,3.52,4.07,0.69
GME,18.08.2017,21.95,21.99,20.78,21.22,11924771,0.9,1.21,1.50,21,17,24,-2.48,-3.24,-1.30,2.12,0.95,1.48
GME,25.08.2017,21.16,22.12,18.72,19.40,31275588,2.4,3.40,1.59,21,15,28,-8.58,-10.85,-11.54,-9.77,-6.64,-7.71
GME,01.09.2017,19.41,19.70,18.47,18.67,17080432,1.3,1.23,1.57,21,15,28,-3.76,-12.02,-14.20,-14.87,-13.16,-10.15
GME,08.09.2017,18.69,19.35,18.56,19.15,10596824,0.8,0.80,1.54,22,14,27,2.57,-1.29,-9.75,-11.99,-12.68,-10.93
GME,15.09.2017,19.21,20.44,19.13,20.29,11735473,0.9,1.31,1.53,22,17,26,5.95,8.68,4.59,-4.38,-6.76,-7.48
GME,22.09.2017,20.39,20.63,19.86,20.01,7088315,0.5,0.77,1.49,22,17,25,-1.38,4.49,7.18,3.14,-5.70,-8.04
GME,29.09.2017,20.03,20.97,20.01,20.66,8624190,0.7,0.96,1.47,21,18,24,3.25,1.82,7.89,10.66,6.49,-2.64
GME,06.10.2017,20.65,20.68,20.02,20.02,6931670,0.5,0.66,1.43,21,18,24,-3.10,0.05,-1.33,4.54,7.23,3.20
GME,13.10.2017,20.07,20.28,19.32,19.71,8741057,0.7,0.97,1.40,21,17,25,-1.55,-4.60,-1.50,-2.86,2.92,5.57
GME,20.10.2017,19.69,20.32,19.20,20.13,7639914,0.6,1.12,1.39,21,16,25,2.13,0.55,-2.57,0.60,-0.79,5.12
GME,27.10.2017,20.14,20.55,18.92,19.34,10355550,0.8,1.63,1.40,21,15,24,-3.92,-1.88,-3.40,-6.39,-3.35,-4.68
GME,03.11.2017,19.43,19.47,18.10,18.10,11859614,0.9,1.37,1.40,21,15,26,-6.41,-10.08,-8.17,-9.59,-12.39,-9.55
GME,10.11.2017,18.07,18.21,16.22,16.43,16774130,1.3,1.99,1.43,22,14,31,-9.23,-15.05,-18.38,-16.64,-17.93,-20.47
GME,17.11.2017,16.43,16.84,15.85,16.31,19764024,1.5,0.99,1.41,23,13,31,-0.73,-9.89,-15.67,-18.98,-17.25,-18.53
GME,24.11.2017,16.40,18.70,16.03,17.42,39748020,3.0,2.67,1.47,23,18,28,6.81,6.03,-3.76,-9.93,-13.46,-11.62
GME,01.12.2017,17.59,19.69,17.59,18.77,27064188,2.0,2.10,1.51,23,20,26,7.75,15.08,14.24,3.70,-2.95,-6.76
GME,08.12.2017,19.04,19.86,18.60,19.20,16292271,1.2,1.26,1.49,22,20,25,2.29,10.22,17.72,16.86,6.08,-0.72
GME,15.12.2017,19.28,19.36,18.17,18.34,15966933,1.2,1.19,1.48,22,19,26,-4.48,-2.29,5.28,12.45,11.63,1.33
GME,22.12.2017,18.45,18.80,18.01,18.29,12713103,0.9,0.79,1.45,21,18,25,-0.27,-4.74,-2.56,4.99,12.14,11.32
GME,29.12.2017,18.29,19.18,17.94,17.95,9075481,0.7,1.24,1.44,21,19,24,-1.86,-2.13,-6.51,-4.37,3.04,10.06
GME,05.01.2018,17.96,18.73,17.78,18.68,12422244,0.9,0.95,1.41,21,18,24,4.07,2.13,1.85,-2.71,-0.48,7.23
GME,12.01.2018,18.80,20.31,17.63,17.76,31002732,2.2,2.68,1.47,20,22,22,-4.93,-1.06,-2.90,-3.16,-7.50,-5.38
GME,19.01.2018,18.00,18.28,17.04,18.13,19571812,1.4,1.24,1.46,19,21,23,2.08,-2.94,1.00,-0.87,-1.15,-5.57
